,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Plettenberg Bay,33,ZA,1561347359,84,-34.05,23.37,51.481399999999965,1.34
1,Hithadhoo,31,MV,1561347359,67,-0.6,73.08,84.90739999999995,4.69
2,Diu,25,IN,1561347360,67,20.71,70.98,84.90739999999995,3.31
3,Dikson,80,RU,1561347360,88,73.51,80.55,40.84340000000002,6.09
4,Cherskiy,32,RU,1561347360,29,68.75,161.3,74.88139999999996,2.33
5,Bluff,0,AU,1561347360,41,-23.58,149.07,68.95940000000003,5.2
6,Ushuaia,40,AR,1561347360,86,-54.81,-68.31,37.66999999999996,3.1
7,Dunedin,95,NZ,1561347361,65,-45.87,170.5,53.27599999999999,7.6
8,Luderitz,0,NA,1561347361,75,-26.65,15.16,52.069999999999965,5.07
9,Ribeira Grande,0,PT,1561347361,74,38.52,-28.7,66.54739999999998,3.37
10,Airai,0,TL,1561347361,51,-8.93,125.41,83.17939999999999,1.34
11,Mataura,91,NZ,1561347362,84,-46.19,168.86,51.27799999999996,3.13
12,Mount Gambier,0,AU,1561347362,62,-37.83,140.78,52.069999999999965,5.1
13,Belmonte,100,PT,1561347362,80,40.36,-7.35,65.26400000000004,1.29
14,Cabatuan,100,PH,1561347363,67,16.95,121.67,87.1034,2.12
15,Alta Floresta,0,BR,1561347363,64,-9.87,-56.08,70.9034,1.39
16,Katsuura,20,JP,1561347363,51,33.93,134.5,80.86999999999996,5.7
17,Hermanus,100,ZA,1561347363,91,-34.42,19.24,50.26999999999996,4.89
18,Albany,40,US,1561347363,46,42.65,-73.75,70.06999999999996,5.1
19,Bambous Virieux,75,MU,1561347364,94,-20.34,57.76,70.26799999999999,2.6
20,Chapleau,46,CA,1561347364,67,47.85,-83.4,57.2954,0.75
21,Natal,20,BR,1561347364,83,-5.81,-35.21,73.66999999999996,2.6
22,Moron,87,VE,1561347226,97,10.49,-68.2,73.45940000000003,0.87
23,Riyadh,0,SA,1561347218,13,24.63,46.72,80.86999999999996,1.25
24,Lokosovo,0,RU,1561347365,52,61.13,74.84,65.37740000000002,5.38
25,Vaini,75,IN,1561347365,94,15.34,74.49,73.66999999999996,3.1
26,Baykit,29,RU,1561347365,29,61.68,96.39,75.99739999999997,4.12
27,Sao Joao da Barra,0,BR,1561347366,95,-21.64,-41.05,66.1874,0.94
28,Coquimbo,0,CL,1561347366,87,-29.95,-71.34,52.069999999999965,5.28
29,Borba,94,PT,1561347366,94,38.81,-7.46,61.903400000000005,2.24
30,Chuy,100,UY,1561347366,96,-33.69,-53.46,66.24140000000006,3.48
31,Norman Wells,75,CA,1561347367,63,65.28,-126.83,66.46999999999997,4.6
32,Kavieng,55,PG,1561347367,75,-2.57,150.8,83.80940000000004,4.52
33,Vardo,1,US,1561347367,68,39.62,-77.74,72.26600000000002,2.1
34,Bethanien,0,NA,1561347367,48,-26.5,17.16,44.20940000000003,2.09
35,Shimoda,75,JP,1561347368,88,34.7,138.93,73.66999999999996,9.8
36,Tongliao,48,CN,1561347368,26,43.61,122.27,91.51339999999999,6.9
37,Nouadhibou,0,MR,1561347368,82,20.93,-17.03,68.26999999999995,7.7
38,Shirokiy,91,RU,1561347368,87,53.87,39.17,61.26799999999999,1.79
39,Dumas,75,IN,1561347369,79,21.09,72.71,86.26999999999995,2.6
40,Rikitea,100,PF,1561347091,87,-23.12,-134.97,68.68939999999998,4.47
41,Carnarvon,9,ZA,1561347369,74,-30.97,22.13,40.55539999999998,2.9
42,Wajir,20,KE,1561347369,73,1.75,40.07,77.26999999999995,2.1
43,Lasa,0,CY,1561347370,73,34.92,32.53,75.46999999999997,2.6
44,Sitka,83,US,1561347370,81,37.17,-99.65,62.27599999999999,1.34
45,Puerto Ayora,33,EC,1561347370,80,-0.74,-90.35,71.94739999999997,3.69
46,Pevek,34,RU,1561347370,64,69.7,170.27,39.45739999999995,5.4
47,Barrow,0,AR,1561347371,77,-38.31,-60.23,49.231399999999965,3.2
48,Bethel,90,US,1561347326,59,60.79,-161.76,62.86999999999996,2.6
49,Muzhi,21,RU,1561347371,62,65.4,64.7,56.71940000000001,6.84
50,ChengDe,23,CN,1561347372,27,40.97,117.93,90.43340000000003,4.2
51,Bilibino,65,RU,1561347372,28,68.06,166.44,67.55539999999998,1.06
52,Tuktoyaktuk,20,CA,1561347372,53,69.44,-133.03,50.26999999999996,3.6
53,College,90,US,1561347372,77,64.86,-147.8,66.46999999999997,2.29
54,Tigil,88,RU,1561347373,70,57.8,158.67,54.271399999999986,3.39
55,Zhigalovo,61,RU,1561347373,29,54.81,105.15,77.40140000000002,1.75
56,Port Elizabeth,1,US,1561347373,60,39.31,-74.98,71.86999999999996,3.1
57,Ngawen,9,ID,1561347373,57,-7.02,111.3,83.01740000000004,3.25
58,Maceio,20,BR,1561347374,88,-9.67,-35.74,70.06999999999996,2.1
59,Shache,100,CN,1561347374,64,38.42,77.24,74.26400000000004,2.7
60,Tautira,75,PF,1561347374,69,-17.73,-149.15,80.86999999999996,3.1
61,Punta Arenas,75,CL,1561347374,86,-53.16,-70.91,34.06999999999996,2.6
62,Aklavik,20,CA,1561347375,52,68.22,-135.01,64.66999999999996,3.6
63,Mar del Plata,68,AR,1561347221,60,-46.43,-67.52,45.10940000000003,6.99
64,Vila,0,IT,1561347375,88,45.18,8.4,72.26600000000002,3.1
65,Ostrovnoy,100,RU,1561347376,87,68.05,39.51,39.295399999999994,6.74
66,Jamestown,100,AU,1561347376,39,-33.21,138.6,52.05739999999995,5.12
67,Fairbanks,90,US,1561347332,77,64.84,-147.72,68.26999999999995,2.29
68,Gravdal,100,NO,1561347376,76,59.79,5.78,53.86999999999996,1.5
69,Tuatapere,100,NZ,1561347377,84,-46.13,167.69,51.27799999999996,3.13
70,Makakilo City,90,US,1561347377,88,21.35,-158.09,84.46999999999997,2.92
71,Kenai,1,US,1561347377,49,60.55,-151.26,76.26199999999996,5.1
72,Bredasdorp,100,ZA,1561347246,93,-34.53,20.04,44.86999999999996,2.12
73,Cuamba,19,MZ,1561347378,96,-14.8,36.54,57.31339999999998,1.17
74,Hobart,0,AU,1561347223,61,-42.88,147.33,48.469999999999956,3.1
75,Castro,90,CL,1561347378,93,-42.48,-73.76,43.06999999999996,1.0
76,Torbay,90,CA,1561347379,81,47.66,-52.73,48.272000000000034,11.8
77,Upernavik,100,GL,1561347379,91,72.79,-56.15,36.7034,4.57
78,Nikolskoye,90,RU,1561347379,82,59.7,30.79,58.26199999999996,2.0
79,Choya,25,RU,1561347379,92,52.01,86.55,52.81339999999998,1.0
80,Thompson,75,CA,1561347380,87,55.74,-97.86,61.069999999999965,1.5
81,Pisco,90,PE,1561347227,82,-13.71,-76.2,61.069999999999965,2.6
82,Paita,100,PE,1561347380,90,-5.09,-81.11,65.21539999999996,5.76
83,Linxia,56,CN,1561347380,57,35.6,103.21,67.7534,2.86
84,Tortoli,0,IT,1561347381,41,39.93,9.66,63.5954,0.85
85,Waingapu,5,ID,1561347381,65,-9.65,120.26,79.52540000000005,7.76
86,Nanortalik,100,GL,1561347382,85,60.14,-45.24,45.12740000000001,4.41
87,New Norfolk,0,AU,1561347382,61,-42.78,147.06,48.469999999999956,3.1
88,Busselton,79,AU,1561347382,50,-33.64,115.35,65.26400000000004,4.8
89,Beringovskiy,100,RU,1561347382,74,63.05,179.32,53.10140000000003,2.77
90,Arraial do Cabo,3,BR,1561347383,89,-22.97,-42.02,70.21940000000001,4.27
91,Qaanaaq,100,GL,1561347383,92,77.48,-69.36,31.591400000000043,3.07
92,Ilulissat,100,GL,1561347383,82,69.22,-51.1,44.86999999999996,2.1
93,Hilo,90,US,1561347383,69,19.71,-155.08,81.26600000000002,4.1
94,Los Llanos de Aridane,0,ES,1561347384,88,28.66,-17.92,71.86999999999996,1.0
95,Pombas,0,BR,1561347384,67,-15.9,-54.74,64.99940000000005,1.09
96,Sao Filipe,74,CV,1561347384,79,14.9,-24.5,73.33340000000004,7.55
97,Podlesnoye,14,RU,1561347384,89,54.32,47.61,67.68139999999997,2.17
98,Lompoc,40,US,1561347385,87,34.64,-120.46,62.27599999999999,3.6
99,Piacabucu,1,BR,1561347385,82,-10.41,-36.43,74.21539999999996,3.39
100,La Ronge,75,CA,1561347385,82,55.1,-105.3,57.469999999999956,2.6
101,Dukat,17,RS,1561347386,83,42.44,22.31,64.27400000000002,1.75
102,Solnechnyy,100,RU,1561347386,88,50.72,136.64,57.817400000000035,1.49
103,Goderich,0,CA,1561347386,85,43.74,-81.71,63.266000000000005,3.94
104,Urucara,0,BR,1561347386,80,-2.54,-57.76,74.55739999999994,1.04
105,Port Lincoln,100,AU,1561347387,59,-34.72,135.86,53.20940000000003,10.59
106,Santa Isabel do Rio Negro,15,BR,1561347387,98,-0.41,-65.02,73.11740000000003,1.09
107,Yellowknife,75,CA,1561347387,87,62.45,-114.38,68.26999999999995,7.2
108,Bandar-e Lengeh,37,IR,1561347387,67,26.56,54.88,93.46999999999997,3.1
109,Longyearbyen,0,NO,1561347387,81,78.22,15.63,44.86999999999996,0.5
110,Tucumcari,1,US,1561347388,8,35.17,-103.73,77.26999999999995,5.7
111,Waipawa,92,NZ,1561347388,72,-39.94,176.59,50.26999999999996,1.34
112,Aguimes,20,ES,1561347388,88,27.91,-15.45,69.27799999999996,0.61
113,Georgetown,20,GY,1561347389,100,6.8,-58.16,75.46999999999997,1.0
114,Roros,21,NO,1561347389,100,62.57,11.38,39.469999999999956,2.6
115,Faanui,69,PF,1561347390,80,-16.48,-151.75,78.2114,12.04
116,Saldanha,100,PT,1561347390,96,41.42,-6.55,61.81339999999998,1.36
117,Agadez,1,NE,1561347390,40,16.97,7.99,86.26999999999995,2.35
118,Araceli,100,PH,1561347390,90,10.55,119.99,79.75940000000003,1.64
119,Puerto Escondido,75,MX,1561347391,78,15.86,-97.07,79.06999999999996,2.6
120,Port Alfred,13,ZA,1561347391,87,-33.59,26.89,53.27599999999999,1.35
121,Tiksi,5,RU,1561347391,53,71.64,128.87,57.817400000000035,2.76
122,Benguela,54,AO,1561347391,76,-12.58,13.4,71.4614,3.63
123,Ballina,100,IE,1561347392,93,54.11,-9.15,58.26199999999996,1.79
124,Kahului,40,US,1561347263,58,20.89,-156.47,89.86999999999996,2.6
125,Souillac,0,FR,1561347392,88,45.6,-0.6,70.06999999999996,2.6
126,Atuona,4,PF,1561347392,82,-9.8,-139.03,80.73139999999997,6.61
127,Kapaa,40,US,1561347393,94,22.08,-159.32,77.26999999999995,1.5
128,Namibe,25,AO,1561347393,78,-15.19,12.15,69.53540000000001,3.5
129,Seoul,1,KR,1561347189,47,37.57,126.98,84.46999999999997,1.5
130,Iqaluit,75,CA,1561347393,70,63.75,-68.52,48.469999999999956,4.1
131,Grindavik,75,IS,1561347393,93,63.84,-22.43,54.266000000000005,5.7
132,Motala,84,SE,1561347394,76,58.54,15.04,55.274000000000015,2.52
133,Sainthia,40,IN,1561347394,66,23.95,87.68,89.86999999999996,3.6
134,Cape Town,0,ZA,1561347345,100,-33.93,18.42,58.26199999999996,1.5
135,Denpasar,20,ID,1561347102,74,-8.65,115.22,82.66999999999996,5.1
136,Soligalich,55,RU,1561347395,60,59.08,42.29,54.631399999999964,2.88
137,Coihaique,20,CL,1561347395,93,-45.58,-72.07,37.66999999999996,4.6
138,Berlevag,0,NO,1561347395,75,70.86,29.09,44.86999999999996,1.0
139,Saint-Philippe,1,CA,1561347396,43,45.36,-73.48,71.86999999999996,3.6
140,Esperance,20,TT,1561347396,83,10.24,-61.45,79.06999999999996,2.1
141,Andijan,100,UZ,1561347396,44,40.76,72.37,79.06999999999996,2.0
142,Port Hawkesbury,90,CA,1561347397,71,45.62,-61.36,55.66999999999996,3.6
143,Half Moon Bay,75,US,1561347397,87,37.46,-122.43,75.46999999999997,3.1
144,Lavrentiya,100,RU,1561347172,74,65.58,-170.99,42.1034,1.82
145,Khrebtovaya,14,RU,1561347397,31,56.71,104.25,76.48340000000005,3.26
146,Mehamn,0,NO,1561347398,75,71.03,27.85,44.86999999999996,1.0
147,Gagino,90,RU,1561347398,87,54.27,39.54,63.266000000000005,1.79
148,Poum,0,MK,1561347398,87,41.28,20.71,55.66999999999996,2.1
149,Vulcan,100,CA,1561347398,84,50.4,-113.26,56.26400000000004,1.34
150,Leua,0,AO,1561347399,60,-11.65,20.45,51.12139999999998,1.7
151,Kovdor,0,RU,1561347399,75,67.56,30.47,42.73340000000004,1.4
152,Oktyabrskiy,0,RU,1561347399,63,55.61,37.97,68.26999999999995,3.0
153,Jining,95,CN,1561347399,25,35.41,116.58,92.9534,3.07
154,Djambala,83,CG,1561347400,74,-2.55,14.76,67.9874,1.97
155,Chute-aux-Outardes,1,CA,1561347400,47,49.12,-68.38,55.66999999999996,3.1
156,Killybegs,100,IE,1561347400,93,54.63,-8.45,56.26400000000004,1.79
157,Patrocinio,100,PH,1561347400,71,13.72,123.64,83.79140000000004,2.22
158,Carlagan,100,PH,1561347401,73,14.97,122.05,86.34739999999996,2.28
159,Lorengau,94,PG,1561347220,80,-2.02,147.27,83.59340000000003,3.2
160,Kodinsk,2,RU,1561347401,27,58.6,99.18,81.75739999999996,3.96
161,Matara,0,PE,1561347183,79,-13.74,-72.9,38.935400000000016,1.04
162,Saskylakh,100,RU,1561347401,36,71.97,114.09,70.95739999999995,3.87
163,Olinda,51,EC,1561347402,88,-2.03,-79.75,75.27200000000005,2.94
164,Dalbandin,0,PK,1561347402,10,28.9,64.41,90.23540000000003,7.27
165,Ogembo,100,KE,1561347402,87,-0.8,34.73,58.915399999999956,1.06
166,Ardakan,40,IR,1561347403,18,32.31,54.02,84.46999999999997,2.01
167,Fortuna,0,ES,1561347403,49,38.18,-1.13,71.27599999999998,1.5
168,Gizo,20,IL,1561347403,83,31.8,34.94,77.26999999999995,1.5
169,Kabinda,0,CD,1561347403,46,-6.14,24.49,64.69340000000003,1.38
170,Road Town,1,VG,1561347404,78,18.42,-64.62,82.66999999999996,5.1
171,Karratha,1,AU,1561347404,43,-20.74,116.85,78.66140000000001,2.65
172,San-Pedro,100,CI,1561347404,98,4.75,-6.64,72.00140000000002,1.5
173,Lebu,0,ET,1561347405,84,8.96,38.73,55.729399999999984,0.67
174,Butaritari,100,KI,1561347405,76,3.07,172.79,83.12540000000004,3.1
175,Mandalgovi,0,MN,1561347407,35,45.76,106.27,78.04940000000005,4.24
176,Seravezza,0,IT,1561347407,93,43.99,10.23,69.27799999999996,1.5
177,Arman,100,RU,1561347407,96,59.7,150.17,41.473399999999955,2.2
178,Zhigansk,22,RU,1561347407,40,66.77,123.37,77.40140000000002,6.15
179,Kajaani,40,FI,1561347408,81,64.22,27.73,48.469999999999956,4.1
180,Roura,0,GF,1561347408,88,4.73,-52.33,77.26999999999995,0.74
181,Kavaratti,40,IN,1561347408,83,10.57,72.64,84.46999999999997,6.2
182,Lagoa,40,PT,1561347409,100,37.14,-8.45,67.26199999999996,3.6
183,Lingao,100,CN,1561347409,71,19.91,109.69,87.28340000000004,2.07
184,Basar,90,IN,1561347409,94,27.98,94.69,80.86999999999996,5.1
185,Avarua,71,CK,1561347408,64,-21.21,-159.78,73.66999999999996,6.7
186,San Patricio,0,PY,1561347410,71,-26.98,-56.83,67.84340000000003,3.69
187,Hasaki,75,JP,1561347410,93,35.73,140.83,66.46999999999997,7.7
188,Mucurapo,20,TT,1561347410,83,10.67,-61.53,79.06999999999996,2.1
189,Salalah,75,OM,1561347410,89,17.01,54.1,84.46999999999997,3.1
190,Ancud,90,CL,1561347410,93,-41.87,-73.83,43.06999999999996,1.0
191,Tevaitoa,62,PF,1561347411,79,-16.78,-151.5,77.49140000000006,12.2
192,Maromitsa,15,RU,1561347411,60,59.87,48.01,57.25940000000003,2.96
193,Matamoros,75,US,1561347411,89,25.87,-97.51,84.46999999999997,8.7
194,Tomatlan,12,MX,1561347412,79,19.93,-105.25,77.90539999999999,1.97
195,Monte Patria,98,CL,1561347412,33,-30.69,-70.96,58.87939999999999,0.49
196,Inhambane,0,MZ,1561347412,94,-23.87,35.38,62.9114,1.33
197,Te Anau,84,NZ,1561347412,74,-45.41,167.72,43.74140000000004,1.14
198,Parrita,40,CR,1561347413,94,9.52,-84.33,71.86999999999996,1.0
199,Soyo,23,AO,1561347413,78,-6.13,12.37,75.49340000000002,4.08
200,Adre,88,TD,1561347413,50,13.47,22.2,77.05940000000004,1.78
201,Jasper,1,US,1561347273,94,33.83,-87.28,82.66999999999996,3.46
202,Ahipara,12,NZ,1561347414,73,-35.17,173.16,58.357399999999956,10.1
203,Rio Branco,0,BR,1561347414,100,-9.98,-67.82,73.66999999999996,0.33
204,Cayenne,0,GF,1561347414,88,4.94,-52.33,77.26999999999995,1.33
205,Yekepa,100,LR,1561347415,98,7.58,-8.54,71.17339999999996,1.02
206,Hondo,20,US,1561347415,74,29.35,-99.14,86.26999999999995,5.7
207,Caravelas,12,BR,1561347415,89,-17.73,-39.27,71.80340000000001,0.89
208,Pangnirtung,0,CA,1561347206,56,66.15,-65.72,41.74340000000002,1.9
209,Olga,75,US,1561347416,77,34.11,-118.17,73.66999999999996,1.5
210,Bonthe,100,SL,1561347416,90,7.53,-12.5,76.89739999999998,3.12
211,Mayo,75,CA,1561347269,22,63.59,-135.9,75.46999999999997,4.6
212,Nioro,16,GM,1561347416,57,13.79,-15.05,76.37540000000004,3.31
213,Pacific Grove,1,US,1561347347,77,36.62,-121.92,70.26799999999999,2.6
214,Draper,1,US,1561347178,34,40.52,-111.86,75.46999999999997,3.6
215,Imbituba,0,BR,1561347417,88,-28.24,-48.67,66.46999999999997,1.5
216,Kodiak,40,US,1561347218,88,39.95,-94.76,70.26799999999999,1.5
217,Marica,0,BR,1561347417,88,-22.92,-42.82,73.66999999999996,1.5
218,Vestmannaeyjar,100,IS,1561347418,83,63.44,-20.27,53.13739999999999,4.05
219,Malanje,0,AO,1561347418,75,-9.54,16.35,55.855399999999975,0.43
220,Ritchie,0,ZA,1561347418,74,-29.03,24.6,32.26999999999996,1.38
221,Bahia Blanca,0,AR,1561347419,64,-38.72,-62.27,49.87939999999999,3.96
222,Geraldton,75,CA,1561347419,48,49.72,-86.95,66.46999999999997,1.5
223,Kondoa,0,TZ,1561347419,91,-4.91,35.78,56.97139999999999,1.34
224,Hailar,100,CN,1561347419,47,49.2,119.7,79.65140000000002,1.38
225,Aquiraz,20,BR,1561347420,83,-3.9,-38.39,86.26999999999995,1.5
226,Haines Junction,91,CA,1561347420,65,60.75,-137.51,61.237399999999994,3.36
227,Toyooka,40,JP,1561347420,100,35.55,134.82,73.66999999999996,4.1
228,Havre-Saint-Pierre,90,CA,1561347420,58,50.23,-63.6,53.86999999999996,5.7
229,Pitimbu,0,BR,1561347421,100,-7.47,-34.81,71.86999999999996,2.6
230,Beroroha,0,MG,1561347421,84,-21.68,45.17,62.2454,1.49
231,Svarstad,100,NO,1561347421,81,59.4,9.97,54.266000000000005,1.5
232,San Cristobal,49,EC,1561347421,96,-0.39,-78.55,46.274000000000015,0.73
233,Robertsport,100,LR,1561347422,90,6.75,-11.37,76.50140000000002,1.86
234,Maroantsetra,98,MG,1561347422,97,-15.43,49.74,62.49739999999997,0.66
235,Lumeje,0,AO,1561347422,58,-11.56,20.78,53.11940000000001,1.71
236,Luis Correia,52,BR,1561347423,97,-2.88,-41.67,72.52339999999995,1.73
237,Mahebourg,75,MU,1561347423,94,-20.41,57.7,70.26799999999999,2.6
238,Nome,75,US,1561347423,83,30.04,-94.42,85.26199999999996,4.6
239,Tasiilaq,100,GL,1561347423,100,65.61,-37.64,34.06999999999996,3.1
240,Guasdualito,75,VE,1561347423,100,7.24,-70.73,73.66999999999996,1.05
241,Westport,92,IE,1561347424,95,53.8,-9.52,58.26199999999996,0.45
242,Taree,90,AU,1561347424,77,-31.91,152.46,63.266000000000005,2.1
243,Buala,2,SB,1561347425,73,-8.15,159.59,83.07139999999998,4.38
244,Dhidhdhoo,22,MV,1561347425,76,6.88,73.1,84.60140000000003,8.14
245,Khatanga,35,RU,1561347425,53,71.98,102.47,66.78139999999996,5.55
246,Flinders,75,AU,1561347269,82,-34.58,150.85,61.26799999999999,4.6
247,Chokurdakh,0,RU,1561347426,31,70.62,147.9,74.01740000000004,6.1
248,Jalaun,0,IN,1561347426,50,26.14,79.33,92.23340000000005,3.11
249,Seymchan,93,RU,1561347426,46,62.93,152.39,60.139399999999966,3.19
250,General Pico,71,AR,1561347426,66,-35.66,-63.75,53.29940000000005,1.97
251,Omboue,100,GA,1561347426,82,-1.57,9.26,75.13340000000005,5.39
252,Kaseda,20,JP,1561347427,36,31.42,130.32,80.86999999999996,1.0
253,Clyde River,75,CA,1561347427,86,70.47,-68.59,39.469999999999956,1.0
254,Pimentel,52,BR,1561347427,95,-3.7,-45.5,72.43340000000003,0.71
255,Galle,40,US,1561347428,88,29.74,-97.91,84.46999999999997,4.6
256,Kanye,0,BW,1561347428,60,-24.98,25.34,38.17939999999999,2.62
257,Mezen,88,RU,1561347429,83,65.85,44.24,40.771399999999986,4.45
258,Ponta do Sol,0,BR,1561347429,79,-20.63,-46.0,57.51140000000001,1.46
259,Khandyga,68,RU,1561347429,35,62.65,135.58,75.43939999999998,1.71
260,Sibay,38,RU,1561347429,73,52.72,58.67,71.53340000000004,2.86
261,Nueve de Julio,5,AR,1561347430,63,-31.67,-68.39,54.28939999999997,1.22
262,Saint George,20,GR,1561347430,64,39.45,22.34,74.26400000000004,1.5
263,Kloulklubed,75,PW,1561347430,79,7.04,134.26,84.46999999999997,5.1
264,Sungaipenuh,43,ID,1561347431,55,-2.08,101.38,86.23939999999996,1.18
265,Belogorsk,0,UA,1561347431,86,45.06,34.59,66.51140000000001,0.85
266,Manica,0,MZ,1561347431,100,-18.94,32.88,59.26999999999996,1.11
267,Santa Cruz Cabralia,40,BR,1561347431,94,-16.28,-39.02,70.06999999999996,2.1
268,Cidreira,22,BR,1561347432,79,-30.17,-50.22,68.0954,4.45
269,East London,0,ZA,1561347341,93,-33.02,27.91,48.469999999999956,2.1
270,Erzin,0,TR,1561347433,83,36.95,36.2,77.26999999999995,5.7
271,Alghero,0,IT,1561347433,100,40.56,8.32,70.26799999999999,0.5
272,Thinadhoo,97,MV,1561347433,75,0.53,72.93,83.10739999999996,2.4
273,Oistins,20,BB,1561347434,83,13.07,-59.53,80.86999999999996,4.1
274,At-Bashi,95,KG,1561347434,87,41.17,75.81,60.27799999999996,2.07
275,Praia da Vitoria,40,PT,1561347435,77,38.73,-27.07,64.66999999999996,4.37
276,Polazna,0,RU,1561347435,72,58.29,56.41,64.66999999999996,3.0
277,Republic,1,US,1561347435,26,48.65,-118.74,71.86999999999996,5.7
278,Pecos,1,US,1561347435,10,31.42,-103.49,86.26999999999995,3.1
279,Hami,94,CN,1561347436,36,42.84,93.51,77.90539999999999,2.38
280,Broken Hill,24,AU,1561347436,47,-31.97,141.45,55.66999999999996,5.7
281,Meulaboh,100,ID,1561347436,75,4.14,96.13,82.0454,3.19
